question,description,category,active,closed,options,outcome,response,full_response,proper
will elon musk visit gaza in 2023 ,if elon musk visits gaza between november 28 and december 31  11 59 pm et  this market will resolve to  yes   otherwise  this market will resolve to  no    for the purpose of this market  a  visit  is defined as elon musk physically entering the terrestrial or maritime territory of gaza  whether or not musk enters gazan airspace during the timeframe of this market will have no bearing on a positive resolution   the primary resolution source for this information will be official information from elon musk or released by his verified social media accounts  e g  https   twitter com elonmusk   however  a consensus of credible reporting will also be used ,['Middle East'],True,True,"['yes', 'no']",No,outcome yes,"{'model': 'llama2textform2f', 'created_at': '2024-02-05T23:15:41.574463269Z', 'response': 'Outcome: Yes\r\n\r\nWill the', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 10605, 338, 385, 1342, 310, 5155, 322, 6089, 29901, 30004, 13, 29943, 523, 11554, 29901, 2811, 23094, 5401, 491, 8341, 29973, 313, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29896, 29896, 29897, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 4124, 23740, 5401, 341, 8547, 6536, 29973, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 1260, 265, 3077, 29895, 6493, 15853, 29874, 297, 29871, 29906, 29900, 29906, 29941, 29973, 6024, 8241, 742, 525, 3782, 2033, 13, 30004, 13, 3744, 2763, 29901, 3869, 30004, 13, 30004, 13, 12984, 278], 'total_duration': 34289571758, 'load_duration': 4549972, 'prompt_eval_count': 148, 'prompt_eval_duration': 31512946000, 'eval_count': 10, 'eval_duration': 2771022000}",True
will  ukraine  be said 10 or more times in the 2nd rnc primary debate ,this market will resolve to  yes  if  ukraine  is said 10 or more times by the candidates  in total  during the rnc primary debate scheduled for september 27  2023  otherwise  the market will resolve to  no    pluralization possessive of the word will count toward the resolution of this market  forms such as  ukrainian  will not count    the resolution source is live video of the debate  in case of ambiguity  an official transcript and or a consensus of credible reporting may also be considered   if this event is cancelled or delayed beyond october 27  2023  11 59 pm et  this market will resolve to  no  ,['US politics'],True,True,"['no', 'yes']",No,outcome yes,"{'model': 'llama2textform2f', 'created_at': '2024-02-05T23:15:51.901103099Z', 'response': 'Outcome: Yes\r\n\r\nWill the', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 10605, 338, 385, 1342, 310, 5155, 322, 6089, 29901, 30004, 13, 29943, 523, 11554, 29901, 2811, 23094, 5401, 491, 8341, 29973, 313, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29896, 29896, 29897, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 4124, 23740, 5401, 341, 8547, 6536, 29973, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 376, 29965, 29895, 12096, 29908, 367, 1497, 29871, 29896, 29900, 470, 901, 3064, 297, 278, 29871, 29906, 299, 390, 15868, 7601, 27836, 29973, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 3744, 2763, 29901, 3869, 30004, 13, 30004, 13, 12984, 278], 'total_duration': 10322848471, 'load_duration': 355167, 'prompt_eval_count': 32, 'prompt_eval_duration': 7605544000, 'eval_count': 10, 'eval_duration': 2716089000}",True
mlb  atlanta braves vs  seattle mariners 2023 05 19,in the upcoming mlb game  scheduled for may 19 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the seattle mariners win  the market will resolve to  mariners     if the game is not completed by june 2  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'mariners']",Braves,n a,"{'model': 'llama2textform2f', 'created_at': '2024-02-05T23:16:03.125589735Z', 'response': 'NBA: Golden State Warriors vs. Los', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 10605, 338, 385, 1342, 310, 5155, 322, 6089, 29901, 30004, 13, 29943, 523, 11554, 29901, 2811, 23094, 5401, 491, 8341, 29973, 313, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29896, 29896, 29897, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 4124, 23740, 5401, 341, 8547, 6536, 29973, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 1988, 29933, 29901, 26484, 5032, 1960, 7186, 29889, 27689, 1085, 262, 414, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29945, 29899, 29896, 29929, 6024, 28183, 1960, 742, 525, 7083, 262, 414, 2033, 13, 30004, 13, 29940, 5688, 29901, 16108, 4306, 3362, 28739, 7186, 29889, 4602], 'total_duration': 11221006232, 'load_duration': 479672, 'prompt_eval_count': 35, 'prompt_eval_duration': 8511568000, 'eval_count': 10, 'eval_duration': 2707891000}",False
mlb  atlanta braves vs  miami marlins 2023 04 25,in the upcoming mlb game  scheduled for april 25 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the miami marlins win  the market will resolve to  marlins     if the game is not completed by may 9  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'marlins']",Braves,n a,"{'model': 'llama2textform2f', 'created_at': '2024-02-05T23:16:12.269257703Z', 'response': 'NBA: Golden State Warriors vs. Los', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 10605, 338, 385, 1342, 310, 5155, 322, 6089, 29901, 30004, 13, 29943, 523, 11554, 29901, 2811, 23094, 5401, 491, 8341, 29973, 313, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29896, 29896, 29897, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 4124, 23740, 5401, 341, 8547, 6536, 29973, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 1988, 29933, 29901, 26484, 5032, 1960, 7186, 29889, 23740, 1085, 29880, 1144, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29946, 29899, 29906, 29945, 6024, 28183, 1960, 742, 525, 7083, 29880, 1144, 2033, 13, 30004, 13, 29940, 5688, 29901, 16108, 4306, 3362, 28739, 7186, 29889, 4602], 'total_duration': 9140250903, 'load_duration': 372025, 'prompt_eval_count': 27, 'prompt_eval_duration': 6331795000, 'eval_count': 10, 'eval_duration': 2807267000}",False
rams vs  49ers,in the upcoming nfl game  scheduled for september 17  4 05 pm et   if the los angeles rams win  the market will resolve to  rams    if the san francisco 49ers win  the market will resolve to  49ers     if the game is not completed by september 24  2023  11 59 pm et  or it ends in a tie  the market will resolve 50 50 ,['Football'],True,True,"['49ers', 'rams']",49ers,outcome rams,"{'model': 'llama2textform2f', 'created_at': '2024-02-05T23:16:19.794777173Z', 'response': 'Will the Rams win the Super Bowl? (', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 10605, 338, 385, 1342, 310, 5155, 322, 6089, 29901, 30004, 13, 29943, 523, 11554, 29901, 2811, 23094, 5401, 491, 8341, 29973, 313, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29896, 29896, 29897, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 4124, 23740, 5401, 341, 8547, 6536, 29973, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 29934, 2232, 7186, 29889, 29871, 29946, 29929, 414, 6024, 29946, 29929, 414, 742, 525, 29934, 2232, 2033, 13, 30004, 13, 12984, 278, 390, 2232, 5401, 278, 5670, 27207, 29973, 313], 'total_duration': 7522246834, 'load_duration': 424381, 'prompt_eval_count': 20, 'prompt_eval_duration': 4703448000, 'eval_count': 10, 'eval_duration': 2817195000}",True
finnish presidential election  will jutta urpilainen win ,the 2024 finnish presidential election is scheduled to take place on january 28  2024  with a possible second round on february 11   this market will resolve to  yes  if jutta urpilainen wins  otherwise  this market will resolve to  no    this market includes any potential second round  if the result of this election isn t known by december 31  2024  11 59 59 pm et  the market will resolve to  no    in the case of a two round election  if this candidate is eliminated before the second round this market may immediately resolve to  no    the primary resolution source for this market will be official information from finland  however a consensus of credible reporting will also suffice ,['Elections'],True,True,"['no', 'yes']",No,outcome yes,"{'model': 'llama2textform2f', 'created_at': '2024-02-05T23:16:28.866607877Z', 'response': 'Outcome: Yes\r\n\r\n', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 10605, 338, 385, 1342, 310, 5155, 322, 6089, 29901, 30004, 13, 29943, 523, 11554, 29901, 2811, 23094, 5401, 491, 8341, 29973, 313, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29896, 29896, 29897, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 4124, 23740, 5401, 341, 8547, 6536, 29973, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 29943, 2559, 728, 7178, 616, 382, 1464, 29901, 2811, 435, 329, 941, 8918, 29886, 309, 475, 264, 5401, 29973, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 3744, 2763, 29901, 3869, 30004, 13, 30004, 13], 'total_duration': 9067923991, 'load_duration': 1430630, 'prompt_eval_count': 28, 'prompt_eval_duration': 6669357000, 'eval_count': 9, 'eval_duration': 2395928000}",True
mlb  baltimore orioles vs  oakland athletics 2023 04 11,in the upcoming mlb game  scheduled for april 11 at 6 35 pm et   if the baltimore orioles win  the market will resolve to  orioles    if the oakland athletics win  the market will resolve to  athletics     if the game is not completed by april 25  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['athletics', 'orioles']",Orioles,n a,"{'model': 'llama2textform2f', 'created_at': '2024-02-05T23:16:39.703675878Z', 'response': 'NBA: Golden State Warriors vs. Los', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 10605, 338, 385, 1342, 310, 5155, 322, 6089, 29901, 30004, 13, 29943, 523, 11554, 29901, 2811, 23094, 5401, 491, 8341, 29973, 313, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29896, 29896, 29897, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 4124, 23740, 5401, 341, 8547, 6536, 29973, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 1988, 29933, 29901, 26767, 11678, 6544, 7186, 29889, 24132, 1049, 28981, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29946, 29899, 29896, 29896, 6024, 29909, 386, 1026, 1199, 742, 525, 15988, 6544, 2033, 13, 30004, 13, 29940, 5688, 29901, 16108, 4306, 3362, 28739, 7186, 29889, 4602], 'total_duration': 10833671999, 'load_duration': 340486, 'prompt_eval_count': 35, 'prompt_eval_duration': 8140646000, 'eval_count': 10, 'eval_duration': 2691734000}",False
will  eth be above  1700 on april 7 ,this market will resolve to  yes  if the binance 1 minute candle for eth usdt titled 2023 04 07 03 00 in the et timezone  referring to 3 00 am et  has a final  close  price of 1700 01 or higher  or to  no  otherwise   the resolution source for this market is https   www binance com  specifically the eth usdt  close  prices currently available at https   www binance com en trade eth_usdt _from markets theme dark type spot with  1m  and  original  selected on the top bar   to see the  close  prices  mouse over particular candles and look at the value after  close   at the top of the chart  the api url https   api binance com api v3 klines symbol ethusdt interval 1m with relevant startdate and enddate parameters may be used in the event that the chart is unavailable   please note that this market is about the price according to binance eth usdt  not according to other sources or spot markets ,['Prices'],True,True,"['no', 'yes']",Yes,outcome yes,"{'model': 'llama2textform2f', 'created_at': '2024-02-05T23:16:48.415969021Z', 'response': 'Outcome: Yes\r\n\r\nWill the', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 10605, 338, 385, 1342, 310, 5155, 322, 6089, 29901, 30004, 13, 29943, 523, 11554, 29901, 2811, 23094, 5401, 491, 8341, 29973, 313, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29896, 29896, 29897, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 4124, 23740, 5401, 341, 8547, 6536, 29973, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 395, 2544, 29950, 367, 2038, 395, 29896, 29955, 29900, 29900, 373, 3786, 29871, 29955, 29973, 6024, 3782, 742, 525, 8241, 2033, 13, 30004, 13, 3744, 2763, 29901, 3869, 30004, 13, 30004, 13, 12984, 278], 'total_duration': 8709052333, 'load_duration': 363093, 'prompt_eval_count': 25, 'prompt_eval_duration': 5896377000, 'eval_count': 10, 'eval_duration': 2811456000}",True
ncaab  alabama crimson tide vs  san diego state aztecs 2023 03 24,in the upcoming ncaab game  scheduled for march 24 at 6 30 pm et   if the alabama crimson tide win  the market will resolve to  alabama    if the san diego state aztecs win  the market will resolve to  san diego state     if the game is not completed by april 10  2023  11 59 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['alabama', 'san diego state']",San Diego State,n a,"{'model': 'llama2textform2f', 'created_at': '2024-02-05T23:17:00.605077425Z', 'response': 'NBA: Will the Lakers win the NBA', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 10605, 338, 385, 1342, 310, 5155, 322, 6089, 29901, 30004, 13, 29943, 523, 11554, 29901, 2811, 23094, 5401, 491, 8341, 29973, 313, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29896, 29896, 29897, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 4124, 23740, 5401, 341, 8547, 6536, 29973, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 29940, 5454, 2882, 29901, 26911, 315, 5632, 1100, 323, 680, 7186, 29889, 3087, 16879, 4306, 4709, 371, 2395, 29871, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29906, 29946, 6024, 2499, 23758, 742, 525, 22509, 16879, 4306, 2033, 13, 30004, 13, 29940, 5688, 29901, 2811, 278, 365, 21079, 5401, 278, 21517], 'total_duration': 12186077855, 'load_duration': 360037, 'prompt_eval_count': 41, 'prompt_eval_duration': 9343626000, 'eval_count': 10, 'eval_duration': 2841294000}",False
warriors vs  rockets,in the upcoming nba game  scheduled for november 20 at 10 00 pm et   if the golden state warriors win  the market will resolve to  warriors    if the houston rockets win  the market will resolve to  rockets     if the game is not completed by november 27  2023  11 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['rockets', 'warriors']",Warriors,n a,"{'model': 'llama2textform2f', 'created_at': '2024-02-05T23:17:08.19925745Z', 'response': 'Will the Warriors beat the Rockets in Game', 'done': True, 'context': [6756, 13, 30004, 13, 1576, 1404, 10753, 304, 1073, 825, 674, 3799, 297, 278, 5434, 1048, 263, 3058, 1741, 22993, 13, 23084, 919, 278, 21957, 310, 278, 1139, 2629, 278, 2225, 300, 3987, 297, 278, 20476, 22993, 13, 1666, 2818, 297, 278, 3402, 376, 449, 2763, 29901, 529, 305, 7749, 21957, 29958, 1642, 30004, 13, 30004, 13, 10605, 338, 385, 1342, 310, 5155, 322, 6089, 29901, 30004, 13, 29943, 523, 11554, 29901, 2811, 23094, 5401, 491, 8341, 29973, 313, 29906, 29900, 29906, 29941, 29899, 29900, 29941, 29899, 29896, 29896, 29897, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 12984, 4124, 23740, 5401, 341, 8547, 6536, 29973, 518, 8241, 29892, 1939, 29962, 30004, 13, 3744, 2763, 29901, 1939, 30004, 13, 30004, 13, 29956, 279, 28739, 7186, 29889, 8027, 1691, 6024, 29934, 1698, 1691, 742, 525, 29956, 279, 28739, 2033, 13, 30004, 13, 12984, 278, 3362, 28739, 16646, 278, 8027, 1691, 297, 8448], 'total_duration': 7590182112, 'load_duration': 355026, 'prompt_eval_count': 20, 'prompt_eval_duration': 4757966000, 'eval_count': 10, 'eval_duration': 2830896000}",False
