question,description,category,active,closed,options,outcome,response,full_response,proper
will elon musk visit gaza in 2023 ,if elon musk visits gaza between november 28 and december 31  11 59 pm et  this market will resolve to  yes   otherwise  this market will resolve to  no    for the purpose of this market  a  visit  is defined as elon musk physically entering the terrestrial or maritime territory of gaza  whether or not musk enters gazan airspace during the timeframe of this market will have no bearing on a positive resolution   the primary resolution source for this information will be official information from elon musk or released by his verified social media accounts  e g  https   twitter com elonmusk   however  a consensus of credible reporting will also be used ,['Middle East'],True,True,"['yes', 'no']",No,n a,"{'model': 'mistralinstructform2', 'created_at': '2024-02-05T04:17:56.304606785Z', 'response': 'outcome: The resolution of this market depends on', 'done': True, 'context': [1302, 13, 28801, 13, 1014, 2188, 5659, 298, 873, 767, 622, 4804, 297, 272, 3437, 684, 264, 2552, 1951, 5488, 13, 17555, 848, 272, 14120, 302, 272, 2996, 2373, 272, 1258, 299, 2877, 297, 272, 1170, 468, 1468, 5488, 13, 1146, 19571, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 14120, 19593, 28801, 13, 28801, 13, 12695, 1744, 266, 3779, 28729, 3251, 420, 10261, 297, 28705, 28750, 28734, 28750, 28770, 28804, 1047, 1744, 266, 3779, 28729, 17217, 420, 10261, 1444, 4349, 28705, 28750, 28783, 304, 4925, 28705, 28770, 28740, 28725, 28705, 28740, 28740, 28747, 28782, 28774, 9632, 27570, 28725, 456, 2668, 622, 11024, 298, 345, 5613, 2586, 15510, 28725, 456, 2668, 622, 11024, 298, 345, 2501, 2586, 28705, 1263, 272, 6032, 302, 456, 2668, 28725, 264, 345, 19090, 28739, 349, 4057, 390, 1744, 266, 3779, 28729, 16094, 15435, 272, 3636, 3290, 6144, 442, 1829, 26843, 14293, 302, 420, 10261, 28723, 9989, 442, 459, 3779, 28729, 27033, 27161, 276, 2423, 3603, 1938, 272, 727, 3413, 302, 456, 2668, 622, 506, 708, 20176, 356, 264, 5278, 10948, 28723, 28705, 415, 6258, 10948, 2832, 354, 456, 1871, 622, 347, 5189, 1871, 477, 1744, 266, 3779, 28729, 442, 5242, 486, 516, 25301, 2809, 4077, 9855, 325, 28706, 28723, 28721, 28723, 4449, 1508, 22747, 28723, 675, 28748, 301, 266, 12207, 28729, 344, 3545, 28725, 264, 24337, 302, 3993, 1070, 14438, 622, 835, 347, 1307, 28723, 5936, 5613, 647, 464, 2501, 1421, 13, 28801, 13, 406, 4215, 28747, 415, 10948, 302, 456, 2668, 9618, 356], 'total_duration': 51608475537, 'load_duration': 1562730, 'prompt_eval_count': 237, 'prompt_eval_duration': 48478297000, 'eval_count': 10, 'eval_duration': 3127693000}",False
will  ukraine  be said 10 or more times in the 2nd rnc primary debate ,this market will resolve to  yes  if  ukraine  is said 10 or more times by the candidates  in total  during the rnc primary debate scheduled for september 27  2023  otherwise  the market will resolve to  no    pluralization possessive of the word will count toward the resolution of this market  forms such as  ukrainian  will not count    the resolution source is live video of the debate  in case of ambiguity  an official transcript and or a consensus of credible reporting may also be considered   if this event is cancelled or delayed beyond october 27  2023  11 59 pm et  this market will resolve to  no  ,['US politics'],True,True,"['no', 'yes']",No,n a,"{'model': 'mistralinstructform2', 'created_at': '2024-02-05T04:18:40.235524064Z', 'response': 'outcome: The resolution of this market depends on', 'done': True, 'context': [1302, 13, 28801, 13, 1014, 2188, 5659, 298, 873, 767, 622, 4804, 297, 272, 3437, 684, 264, 2552, 1951, 5488, 13, 17555, 848, 272, 14120, 302, 272, 2996, 2373, 272, 1258, 299, 2877, 297, 272, 1170, 468, 1468, 5488, 13, 1146, 19571, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 14120, 19593, 28801, 13, 28801, 13, 12695, 345, 28779, 6175, 4262, 28739, 347, 773, 28705, 28740, 28734, 442, 680, 2421, 297, 272, 28705, 28750, 292, 399, 9419, 6258, 12745, 28804, 851, 2668, 622, 11024, 298, 345, 5613, 28739, 513, 345, 28779, 6175, 4262, 28739, 349, 773, 28705, 28740, 28734, 442, 680, 2421, 486, 272, 12179, 325, 262, 3102, 28731, 1938, 272, 399, 9419, 6258, 12745, 13873, 354, 4074, 28705, 28750, 28787, 28725, 28705, 28750, 28734, 28750, 28770, 28723, 15510, 28725, 272, 2668, 622, 11024, 298, 345, 2501, 611, 28705, 1641, 1890, 1837, 28748, 6338, 409, 495, 302, 272, 1707, 622, 2113, 4112, 272, 10948, 302, 456, 2668, 28723, 4849, 28713, 1259, 390, 345, 28779, 6175, 426, 753, 28739, 622, 459, 2113, 28723, 259, 415, 10948, 2832, 349, 2943, 3798, 302, 272, 12745, 28723, 560, 1222, 302, 25787, 25239, 28725, 396, 5189, 1203, 2489, 304, 28748, 271, 264, 24337, 302, 3993, 1070, 14438, 993, 835, 347, 4525, 28723, 28705, 1047, 456, 1951, 349, 24977, 442, 21532, 5298, 4527, 28705, 28750, 28787, 28725, 28705, 28750, 28734, 28750, 28770, 28725, 28705, 28740, 28740, 28747, 28782, 28774, 9632, 27570, 28725, 456, 2668, 622, 11024, 298, 345, 2501, 2586, 5936, 2501, 647, 464, 5613, 1421, 13, 28801, 13, 406, 4215, 28747, 415, 10948, 302, 456, 2668, 9618, 356], 'total_duration': 43926469700, 'load_duration': 393334, 'prompt_eval_count': 196, 'prompt_eval_duration': 41152492000, 'eval_count': 10, 'eval_duration': 2772597000}",False
mlb  atlanta braves vs  seattle mariners 2023 05 19,in the upcoming mlb game  scheduled for may 19 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the seattle mariners win  the market will resolve to  mariners     if the game is not completed by june 2  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'mariners']",Braves,n a,"{'model': 'mistralinstructform2', 'created_at': '2024-02-05T04:19:11.752904946Z', 'response': 'outcome: The outcome of this question depends on', 'done': True, 'context': [1302, 13, 28801, 13, 1014, 2188, 5659, 298, 873, 767, 622, 4804, 297, 272, 3437, 684, 264, 2552, 1951, 5488, 13, 17555, 848, 272, 14120, 302, 272, 2996, 2373, 272, 1258, 299, 2877, 297, 272, 1170, 468, 1468, 5488, 13, 1146, 19571, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 14120, 19593, 28801, 13, 28801, 13, 3827, 28760, 28747, 18279, 1896, 3410, 7709, 28723, 18083, 1471, 262, 404, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28782, 28733, 28740, 28774, 560, 272, 17962, 19003, 28760, 2039, 28725, 13873, 354, 2246, 28705, 28740, 28774, 438, 28705, 28787, 28747, 28750, 28734, 9632, 27570, 28747, 28705, 1047, 272, 18279, 1896, 3410, 3108, 28725, 272, 2668, 622, 11024, 298, 981, 7038, 3410, 7445, 28705, 1047, 272, 18083, 1471, 262, 404, 3108, 28725, 272, 2668, 622, 11024, 298, 981, 7308, 262, 404, 7445, 259, 1047, 272, 2039, 349, 459, 7368, 486, 4212, 28705, 28750, 28725, 28705, 28750, 28734, 28750, 28770, 325, 28740, 28740, 28747, 28782, 28774, 28747, 28782, 28774, 9632, 27570, 557, 272, 2668, 622, 11024, 28705, 28782, 28734, 28733, 28782, 28734, 28723, 5936, 7038, 3410, 647, 464, 7308, 262, 404, 1421, 13, 28801, 13, 406, 4215, 28747, 415, 14120, 302, 456, 2996, 9618, 356], 'total_duration': 31513246899, 'load_duration': 396537, 'prompt_eval_count': 133, 'prompt_eval_duration': 28771690000, 'eval_count': 10, 'eval_duration': 2740085000}",False
mlb  atlanta braves vs  miami marlins 2023 04 25,in the upcoming mlb game  scheduled for april 25 at 7 20 pm et   if the atlanta braves win  the market will resolve to  braves    if the miami marlins win  the market will resolve to  marlins     if the game is not completed by may 9  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['braves', 'marlins']",Braves,n a,"{'model': 'mistralinstructform2', 'created_at': '2024-02-05T04:19:41.606079351Z', 'response': 'outcome: The outcome of this question depends on', 'done': True, 'context': [1302, 13, 28801, 13, 1014, 2188, 5659, 298, 873, 767, 622, 4804, 297, 272, 3437, 684, 264, 2552, 1951, 5488, 13, 17555, 848, 272, 14120, 302, 272, 2996, 2373, 272, 1258, 299, 2877, 297, 272, 1170, 468, 1468, 5488, 13, 1146, 19571, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 14120, 19593, 28801, 13, 28801, 13, 3827, 28760, 28747, 18279, 1896, 3410, 7709, 28723, 16932, 1471, 28714, 1126, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28781, 28733, 28750, 28782, 560, 272, 17962, 19003, 28760, 2039, 28725, 13873, 354, 3999, 28705, 28750, 28782, 438, 28705, 28787, 28747, 28750, 28734, 9632, 27570, 28747, 28705, 1047, 272, 18279, 1896, 3410, 3108, 28725, 272, 2668, 622, 11024, 298, 981, 7038, 3410, 7445, 28705, 1047, 272, 16932, 1471, 28714, 1126, 3108, 28725, 272, 2668, 622, 11024, 298, 981, 28755, 1977, 1126, 7445, 259, 1047, 272, 2039, 349, 459, 7368, 486, 2246, 28705, 28774, 28725, 28705, 28750, 28734, 28750, 28770, 325, 28740, 28740, 28747, 28782, 28774, 28747, 28782, 28774, 9632, 27570, 557, 272, 2668, 622, 11024, 28705, 28782, 28734, 28733, 28782, 28734, 28723, 5936, 7038, 3410, 647, 464, 28755, 1977, 1126, 1421, 13, 28801, 13, 406, 4215, 28747, 415, 14120, 302, 456, 2996, 9618, 356], 'total_duration': 29849895865, 'load_duration': 335947, 'prompt_eval_count': 125, 'prompt_eval_duration': 27101243000, 'eval_count': 10, 'eval_duration': 2747340000}",False
rams vs  49ers,in the upcoming nfl game  scheduled for september 17  4 05 pm et   if the los angeles rams win  the market will resolve to  rams    if the san francisco 49ers win  the market will resolve to  49ers     if the game is not completed by september 24  2023  11 59 pm et  or it ends in a tie  the market will resolve 50 50 ,['Football'],True,True,"['49ers', 'rams']",49ers,n a,"{'model': 'mistralinstructform2', 'created_at': '2024-02-05T04:20:11.111032637Z', 'response': 'outcome: The outcome of the NFL game between', 'done': True, 'context': [1302, 13, 28801, 13, 1014, 2188, 5659, 298, 873, 767, 622, 4804, 297, 272, 3437, 684, 264, 2552, 1951, 5488, 13, 17555, 848, 272, 14120, 302, 272, 2996, 2373, 272, 1258, 299, 2877, 297, 272, 1170, 468, 1468, 5488, 13, 1146, 19571, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 14120, 19593, 28801, 13, 28801, 13, 28754, 5322, 7709, 28723, 28705, 28781, 28774, 404, 560, 272, 17962, 17868, 2039, 28725, 13873, 354, 4074, 28705, 28740, 28787, 28725, 28705, 28781, 28747, 28734, 28782, 9632, 27570, 28747, 28705, 1047, 272, 5729, 9479, 399, 5322, 3108, 28725, 272, 2668, 622, 11024, 298, 981, 28754, 5322, 7445, 28705, 1047, 272, 3652, 9686, 28705, 28781, 28774, 404, 3108, 28725, 272, 2668, 622, 11024, 298, 981, 28781, 28774, 404, 7445, 259, 1047, 272, 2039, 349, 459, 7368, 486, 4074, 28705, 28750, 28781, 28725, 28705, 28750, 28734, 28750, 28770, 325, 28740, 28740, 28747, 28782, 28774, 9632, 27570, 28731, 442, 378, 9675, 297, 264, 14628, 28725, 272, 2668, 622, 11024, 28705, 28782, 28734, 28733, 28782, 28734, 28723, 5936, 28781, 28774, 404, 647, 464, 28754, 5322, 1421, 13, 28801, 13, 406, 4215, 28747, 415, 14120, 302, 272, 17868, 2039, 1444], 'total_duration': 29501071491, 'load_duration': 340739, 'prompt_eval_count': 125, 'prompt_eval_duration': 26739109000, 'eval_count': 10, 'eval_duration': 2760870000}",False
finnish presidential election  will jutta urpilainen win ,the 2024 finnish presidential election is scheduled to take place on january 28  2024  with a possible second round on february 11   this market will resolve to  yes  if jutta urpilainen wins  otherwise  this market will resolve to  no    this market includes any potential second round  if the result of this election isn t known by december 31  2024  11 59 59 pm et  the market will resolve to  no    in the case of a two round election  if this candidate is eliminated before the second round this market may immediately resolve to  no    the primary resolution source for this market will be official information from finland  however a consensus of credible reporting will also suffice ,['Elections'],True,True,"['no', 'yes']",No,n a,"{'model': 'mistralinstructform2', 'created_at': '2024-02-05T04:20:56.041726202Z', 'response': 'outcome: The resolution of this market depends on', 'done': True, 'context': [1302, 13, 28801, 13, 1014, 2188, 5659, 298, 873, 767, 622, 4804, 297, 272, 3437, 684, 264, 2552, 1951, 5488, 13, 17555, 848, 272, 14120, 302, 272, 2996, 2373, 272, 1258, 299, 2877, 297, 272, 1170, 468, 1468, 5488, 13, 1146, 19571, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 14120, 19593, 28801, 13, 28801, 13, 28765, 2594, 789, 5120, 505, 413, 1784, 28747, 2875, 475, 329, 1100, 11149, 28720, 309, 426, 269, 3108, 28804, 415, 28705, 28750, 28734, 28750, 28781, 19357, 789, 19268, 7537, 349, 13873, 298, 1388, 1633, 356, 4624, 28705, 28750, 28783, 28725, 28705, 28750, 28734, 28750, 28781, 28725, 395, 264, 2572, 1676, 3713, 356, 5353, 28705, 28740, 28740, 28723, 28705, 851, 2668, 622, 11024, 298, 345, 5613, 28739, 513, 475, 329, 1100, 11149, 28720, 309, 426, 269, 15236, 28723, 15510, 28725, 456, 2668, 622, 11024, 298, 345, 2501, 611, 28705, 851, 2668, 5532, 707, 4628, 1676, 3713, 28723, 1047, 272, 1204, 302, 456, 7537, 3157, 28742, 28707, 2651, 486, 4925, 28705, 28770, 28740, 28725, 28705, 28750, 28734, 28750, 28781, 28725, 28705, 28740, 28740, 28747, 28782, 28774, 28747, 28782, 28774, 9632, 27570, 28725, 272, 2668, 622, 11024, 298, 345, 2501, 611, 28705, 560, 272, 1222, 302, 264, 989, 28733, 888, 7537, 28725, 513, 456, 10169, 349, 27546, 1159, 272, 1676, 3713, 456, 2668, 993, 5347, 11024, 298, 345, 2501, 2586, 28705, 415, 6258, 10948, 2832, 354, 456, 2668, 622, 347, 5189, 1871, 477, 19186, 28725, 3545, 264, 24337, 302, 3993, 1070, 14438, 622, 835, 3510, 535, 28723, 5936, 2501, 647, 464, 5613, 1421, 13, 28801, 13, 406, 4215, 28747, 415, 10948, 302, 456, 2668, 9618, 356], 'total_duration': 44926841600, 'load_duration': 688303, 'prompt_eval_count': 203, 'prompt_eval_duration': 42026926000, 'eval_count': 10, 'eval_duration': 2898108000}",False
mlb  baltimore orioles vs  oakland athletics 2023 04 11,in the upcoming mlb game  scheduled for april 11 at 6 35 pm et   if the baltimore orioles win  the market will resolve to  orioles    if the oakland athletics win  the market will resolve to  athletics     if the game is not completed by april 25  2023  11 59 59 pm et   the market will resolve 50 50 ,['Baseball'],True,True,"['athletics', 'orioles']",Orioles,n a,"{'model': 'mistralinstructform2', 'created_at': '2024-02-05T04:21:27.751464723Z', 'response': 'outcome: The outcome of this question depends on', 'done': True, 'context': [1302, 13, 28801, 13, 1014, 2188, 5659, 298, 873, 767, 622, 4804, 297, 272, 3437, 684, 264, 2552, 1951, 5488, 13, 17555, 848, 272, 14120, 302, 272, 2996, 2373, 272, 1258, 299, 2877, 297, 272, 1170, 468, 1468, 5488, 13, 1146, 19571, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 14120, 19593, 28801, 13, 28801, 13, 3827, 28760, 28747, 23349, 20698, 4721, 7709, 28723, 18005, 1207, 19092, 1063, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28781, 28733, 28740, 28740, 560, 272, 17962, 19003, 28760, 2039, 28725, 13873, 354, 3999, 28705, 28740, 28740, 438, 28705, 28784, 28747, 28770, 28782, 9632, 27570, 28747, 28705, 1047, 272, 23349, 20698, 4721, 3108, 28725, 272, 2668, 622, 11024, 298, 981, 28762, 373, 4721, 7445, 28705, 1047, 272, 18005, 1207, 19092, 1063, 3108, 28725, 272, 2668, 622, 11024, 298, 981, 28741, 10016, 1063, 7445, 259, 1047, 272, 2039, 349, 459, 7368, 486, 3999, 28705, 28750, 28782, 28725, 28705, 28750, 28734, 28750, 28770, 325, 28740, 28740, 28747, 28782, 28774, 28747, 28782, 28774, 9632, 27570, 557, 272, 2668, 622, 11024, 28705, 28782, 28734, 28733, 28782, 28734, 28723, 5936, 28741, 10016, 1063, 647, 464, 28762, 373, 4721, 1421, 13, 28801, 13, 406, 4215, 28747, 415, 14120, 302, 456, 2996, 9618, 356], 'total_duration': 31705885568, 'load_duration': 333017, 'prompt_eval_count': 136, 'prompt_eval_duration': 28889457000, 'eval_count': 10, 'eval_duration': 2815340000}",False
will  eth be above  1700 on april 7 ,this market will resolve to  yes  if the binance 1 minute candle for eth usdt titled 2023 04 07 03 00 in the et timezone  referring to 3 00 am et  has a final  close  price of 1700 01 or higher  or to  no  otherwise   the resolution source for this market is https   www binance com  specifically the eth usdt  close  prices currently available at https   www binance com en trade eth_usdt _from markets theme dark type spot with  1m  and  original  selected on the top bar   to see the  close  prices  mouse over particular candles and look at the value after  close   at the top of the chart  the api url https   api binance com api v3 klines symbol ethusdt interval 1m with relevant startdate and enddate parameters may be used in the event that the chart is unavailable   please note that this market is about the price according to binance eth usdt  not according to other sources or spot markets ,['Prices'],True,True,"['no', 'yes']",Yes,n a,"{'model': 'mistralinstructform2', 'created_at': '2024-02-05T04:22:30.811869164Z', 'response': 'outcome: <The resolution of this question will', 'done': True, 'context': [1302, 13, 28801, 13, 1014, 2188, 5659, 298, 873, 767, 622, 4804, 297, 272, 3437, 684, 264, 2552, 1951, 5488, 13, 17555, 848, 272, 14120, 302, 272, 2996, 2373, 272, 1258, 299, 2877, 297, 272, 1170, 468, 1468, 5488, 13, 1146, 19571, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 14120, 19593, 28801, 13, 28801, 13, 12695, 429, 21138, 347, 2747, 429, 28740, 28787, 28734, 28734, 356, 3999, 28705, 28787, 28804, 851, 2668, 622, 11024, 298, 981, 5613, 28838, 513, 272, 26734, 617, 28705, 28740, 7117, 26000, 354, 413, 3151, 28748, 2252, 13203, 21508, 28705, 28750, 28734, 28750, 28770, 28748, 28734, 28781, 28748, 28734, 28787, 28705, 28734, 28770, 28747, 28734, 28734, 297, 272, 27570, 727, 7795, 325, 16769, 699, 298, 28705, 28770, 28747, 28734, 28734, 10401, 27570, 28731, 659, 264, 1480, 981, 8994, 28838, 4144, 302, 28705, 28740, 28787, 28734, 28734, 28723, 28734, 28740, 442, 4337, 28725, 442, 298, 981, 2501, 28838, 5860, 28723, 28705, 415, 10948, 2832, 354, 456, 2668, 349, 4449, 1508, 2849, 28723, 5721, 617, 28723, 675, 28725, 10107, 272, 413, 3151, 28748, 2252, 13203, 981, 8994, 28838, 8506, 5489, 2632, 438, 4449, 1508, 2849, 28723, 5721, 617, 28723, 675, 28748, 269, 28748, 434, 770, 28748, 21138, 28730, 2252, 13203, 13900, 3211, 28746, 3325, 1468, 28800, 12679, 28746, 16770, 28800, 1123, 28746, 20269, 395, 981, 28740, 28719, 28838, 304, 981, 20582, 28838, 5937, 356, 272, 1830, 2843, 28723, 28705, 1791, 1032, 272, 981, 8994, 28838, 8506, 28725, 12733, 754, 2830, 13931, 867, 304, 913, 438, 272, 1192, 1024, 981, 8994, 28747, 28838, 438, 272, 1830, 302, 272, 10968, 28723, 415, 7086, 6855, 4449, 1508, 3016, 28723, 5721, 617, 28723, 675, 28748, 3016, 28748, 28728, 28770, 28748, 4784, 1303, 28804, 11535, 28746, 21138, 2252, 13203, 28800, 15344, 28746, 28740, 28719, 395, 8598, 1149, 3465, 304, 948, 3465, 5287, 993, 347, 1307, 297, 272, 1951, 369, 272, 10968, 349, 521, 13952, 28723, 28705, 5919, 5039, 369, 456, 2668, 349, 684, 272, 4144, 4771, 298, 26734, 617, 413, 3151, 28748, 2252, 13203, 28725, 459, 4771, 298, 799, 7291, 442, 6297, 11574, 28723, 5936, 2501, 647, 464, 5613, 1421, 13, 28801, 13, 406, 4215, 28747, 523, 1014, 10948, 302, 456, 2996, 622], 'total_duration': 63056945292, 'load_duration': 324688, 'prompt_eval_count': 295, 'prompt_eval_duration': 60275873000, 'eval_count': 10, 'eval_duration': 2779602000}",False
ncaab  alabama crimson tide vs  san diego state aztecs 2023 03 24,in the upcoming ncaab game  scheduled for march 24 at 6 30 pm et   if the alabama crimson tide win  the market will resolve to  alabama    if the san diego state aztecs win  the market will resolve to  san diego state     if the game is not completed by april 10  2023  11 59 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['alabama', 'san diego state']",San Diego State,n a,"{'model': 'mistralinstructform2', 'created_at': '2024-02-05T04:23:04.16180653Z', 'response': 'outcome: <The outcome of the question depends', 'done': True, 'context': [1302, 13, 28801, 13, 1014, 2188, 5659, 298, 873, 767, 622, 4804, 297, 272, 3437, 684, 264, 2552, 1951, 5488, 13, 17555, 848, 272, 14120, 302, 272, 2996, 2373, 272, 1258, 299, 2877, 297, 272, 1170, 468, 1468, 5488, 13, 1146, 19571, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 14120, 19593, 28801, 13, 28801, 13, 28759, 5194, 2192, 28747, 20339, 24849, 1265, 320, 547, 7709, 28723, 3652, 15289, 3885, 7393, 424, 3141, 28705, 28750, 28734, 28750, 28770, 28733, 28734, 28770, 28733, 28750, 28781, 560, 272, 17962, 418, 5194, 2192, 2039, 28725, 13873, 354, 4117, 28705, 28750, 28781, 438, 28705, 28784, 28747, 28770, 28734, 9632, 27570, 28747, 28705, 1047, 272, 20339, 24849, 1265, 320, 547, 3108, 28725, 272, 2668, 622, 11024, 298, 981, 2707, 19006, 7445, 28705, 1047, 272, 3652, 15289, 3885, 7393, 424, 3141, 3108, 28725, 272, 2668, 622, 11024, 298, 981, 17904, 15289, 3885, 7445, 259, 1047, 272, 2039, 349, 459, 7368, 486, 3999, 28705, 28740, 28734, 28725, 28705, 28750, 28734, 28750, 28770, 325, 28740, 28740, 28747, 28782, 28774, 28747, 28782, 28774, 9632, 27570, 557, 272, 2668, 622, 11024, 28705, 28782, 28734, 28733, 28782, 28734, 28723, 5936, 2707, 19006, 647, 464, 17904, 15289, 3885, 1421, 13, 28801, 13, 406, 4215, 28747, 523, 1014, 14120, 302, 272, 2996, 9618], 'total_duration': 33345307614, 'load_duration': 632124, 'prompt_eval_count': 144, 'prompt_eval_duration': 30602530000, 'eval_count': 10, 'eval_duration': 2741007000}",False
warriors vs  rockets,in the upcoming nba game  scheduled for november 20 at 10 00 pm et   if the golden state warriors win  the market will resolve to  warriors    if the houston rockets win  the market will resolve to  rockets     if the game is not completed by november 27  2023  11 59 pm et   the market will resolve 50 50 ,['Basketball'],True,True,"['rockets', 'warriors']",Warriors,n a,"{'model': 'mistralinstructform2', 'created_at': '2024-02-05T04:23:31.465982079Z', 'response': 'outcome: The outcome of this question depends on', 'done': True, 'context': [1302, 13, 28801, 13, 1014, 2188, 5659, 298, 873, 767, 622, 4804, 297, 272, 3437, 684, 264, 2552, 1951, 5488, 13, 17555, 848, 272, 14120, 302, 272, 2996, 2373, 272, 1258, 299, 2877, 297, 272, 1170, 468, 1468, 5488, 13, 1146, 19571, 297, 272, 5032, 345, 406, 4215, 28747, 523, 338, 6148, 14120, 19593, 28801, 13, 28801, 13, 24378, 18152, 7709, 28723, 8107, 1468, 560, 272, 17962, 21041, 2039, 28725, 13873, 354, 4349, 28705, 28750, 28734, 438, 28705, 28740, 28734, 28747, 28734, 28734, 9632, 27570, 28747, 28705, 1047, 272, 14739, 3885, 3273, 18152, 3108, 28725, 272, 2668, 622, 11024, 298, 981, 24378, 18152, 7445, 28705, 1047, 272, 16904, 8107, 1468, 3108, 28725, 272, 2668, 622, 11024, 298, 981, 28754, 18473, 7445, 259, 1047, 272, 2039, 349, 459, 7368, 486, 4349, 28705, 28750, 28787, 28725, 28705, 28750, 28734, 28750, 28770, 325, 28740, 28740, 28747, 28782, 28774, 9632, 27570, 557, 272, 2668, 622, 11024, 28705, 28782, 28734, 28733, 28782, 28734, 28723, 5936, 28754, 18473, 647, 464, 24378, 18152, 1421, 13, 28801, 13, 406, 4215, 28747, 415, 14120, 302, 456, 2996, 9618, 356], 'total_duration': 27300386292, 'load_duration': 409915, 'prompt_eval_count': 112, 'prompt_eval_duration': 24548819000, 'eval_count': 10, 'eval_duration': 2750157000}",False
